                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |      61489 |     670550 |     669427 |     669403 |     669488 |     669641 |     669486 |     669488 |     668367 |     668375 |     668375 |     668391 |     669480 |     669534 |     668391 |     671947 |     668391 |     668386 |     668378 |     668378 |     668362 |     668386 |     668378 |     668362 |     668386 |     668362 |     668378 |     668362 |     668386 |     668378 |     668362 |     668378
  Cycles                             |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858 |    2145858
  IPC                                |       0.03 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929 |    1072929
  Idle time (ns)                     |    1017289 |     196951 |     214856 |     214975 |     217223 |     215800 |     217929 |     216995 |     204676 |     199378 |     199714 |     206172 |     219291 |     219482 |     207726 |     220173 |     170765 |     172150 |     172222 |     172652 |     176252 |     176002 |     175043 |     176740 |     187028 |     190170 |     191488 |     190870 |     177436 |     177889 |     176570 |     177336
  Idle time (%)                      |      94.8% |      18.4% |      20.0% |      20.0% |      20.2% |      20.1% |      20.3% |      20.2% |      19.1% |      18.6% |      18.6% |      19.2% |      20.4% |      20.5% |      19.4% |      20.5% |      15.9% |      16.0% |      16.1% |      16.1% |      16.4% |      16.4% |      16.3% |      16.5% |      17.4% |      17.7% |      17.8% |      17.8% |      16.5% |      16.6% |      16.5% |      16.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8561 |      70217 |      70069 |      70071 |      70077 |      70091 |      70077 |      70077 |      69952 |      69953 |      69953 |      69952 |      70079 |      70076 |      69952 |      70381 |      69952 |      69949 |      69950 |      69950 |      69951 |      69949 |      69950 |      69951 |      69949 |      69951 |      69950 |      69951 |      69949 |      69950 |      69951 |      69950
  num incorrect                      |        242 |       2709 |       2700 |       2695 |       2701 |       2703 |       2701 |       2701 |       2666 |       2666 |       2666 |       2669 |       2698 |       2706 |       2669 |       2736 |       2669 |       2670 |       2668 |       2668 |       2665 |       2670 |       2668 |       2665 |       2670 |       2665 |       2668 |       2665 |       2670 |       2668 |       2665 |       2668
  misprediction rate                 |      2.75% |      3.71% |      3.71% |      3.70% |      3.71% |      3.71% |      3.71% |      3.71% |      3.67% |      3.67% |      3.67% |      3.68% |      3.71% |      3.72% |      3.68% |      3.74% |      3.68% |      3.68% |      3.67% |      3.67% |      3.67% |      3.68% |      3.67% |      3.67% |      3.68% |      3.67% |      3.67% |      3.67% |      3.68% |      3.67% |      3.67% |      3.67%
  mpki                               |       3.94 |       4.04 |       4.03 |       4.03 |       4.03 |       4.04 |       4.03 |       4.03 |       3.99 |       3.99 |       3.99 |       3.99 |       4.03 |       4.04 |       3.99 |       4.07 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99 |       3.99
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       9828 |      99959 |      99832 |      99822 |      99838 |      99839 |      99838 |      99838 |      99701 |      99702 |      99702 |      99708 |      99833 |      99848 |      99708 |     100102 |      99708 |      99710 |      99706 |      99706 |      99700 |      99710 |      99706 |      99700 |      99710 |      99700 |      99706 |      99700 |      99710 |      99706 |      99700 |      99706
    num misses                       |         32 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         37 |         37 |         37 |         37 |         45 |         46 |         37 |         45 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37
    miss rate                        |      0.33% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.52 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.07 |       0.07 |       0.06 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      29425 |     251973 |     251518 |     251515 |     251525 |     251539 |     251525 |     251525 |     251068 |     251072 |     251071 |     251073 |     251526 |     251544 |     251073 |     252455 |     251073 |     251070 |     251068 |     251068 |     251066 |     251069 |     251068 |     251066 |     251069 |     251067 |     251068 |     251066 |     251069 |     251068 |     251066 |     251068
    num misses                       |        143 |         70 |         66 |         66 |         66 |         67 |         66 |         67 |         44 |         45 |         45 |         44 |         66 |         66 |         44 |         74 |         44 |         44 |         44 |         55 |         44 |         44 |         54 |         44 |         44 |         44 |         54 |         44 |         45 |         70 |         44 |         44
    miss rate                        |      0.49% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.03% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02%
    mpki                             |       2.33 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.07 |       0.07 |       0.07 |       0.07 |       0.10 |       0.10 |       0.07 |       0.11 |       0.07 |       0.07 |       0.07 |       0.08 |       0.07 |       0.07 |       0.08 |       0.07 |       0.07 |       0.07 |       0.08 |       0.07 |       0.07 |       0.10 |       0.07 |       0.07
