                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        175 |        115 |        111 |        111 |        111 |        112 |        111 |        112 |         81 |         82 |         82 |         81 |        111 |        112 |         81 |        119 |         81 |         81 |         81 |         92 |         81 |         81 |         91 |         81 |         81 |         81 |         91 |         81 |         82 |        107 |         81 |         81
    num misses                       |         96 |        113 |        109 |        109 |        110 |        109 |        110 |        110 |         80 |         81 |         81 |         80 |        110 |        111 |         80 |        115 |         80 |         80 |         80 |         81 |         80 |         80 |         80 |         80 |         80 |         80 |         80 |         80 |         81 |         81 |         80 |         80
    miss rate                        |     54.86% |     98.26% |     98.20% |     98.20% |     99.10% |     97.32% |     99.10% |     98.21% |     98.77% |     98.78% |     98.78% |     98.77% |     99.10% |     99.11% |     98.77% |     96.64% |     98.77% |     98.77% |     98.77% |     88.04% |     98.77% |     98.77% |     87.91% |     98.77% |     98.77% |     98.77% |     87.91% |     98.77% |     98.78% |     75.70% |     98.77% |     98.77%
    mpki                             |       1.56 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.12 |       0.12 |       0.12 |       0.12 |       0.16 |       0.17 |       0.12 |       0.17 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9828 |      99959 |      99832 |      99822 |      99838 |      99839 |      99838 |      99838 |      99701 |      99702 |      99702 |      99708 |      99833 |      99848 |      99708 |     100102 |      99708 |      99710 |      99706 |      99706 |      99700 |      99710 |      99706 |      99700 |      99710 |      99700 |      99706 |      99700 |      99710 |      99706 |      99700 |      99706
    num cache misses                 |        218 |        525 |        519 |        515 |        524 |        526 |        524 |        524 |        471 |        472 |        472 |        475 |        522 |        528 |        475 |        531 |        475 |        474 |        473 |        473 |        470 |        474 |        473 |        470 |        474 |        470 |        473 |        470 |        474 |        473 |        470 |        473
    miss rate                        |      2.22% |      0.53% |      0.52% |      0.52% |      0.52% |      0.53% |      0.52% |      0.52% |      0.47% |      0.47% |      0.47% |      0.48% |      0.52% |      0.53% |      0.48% |      0.53% |      0.48% |      0.48% |      0.47% |      0.47% |      0.47% |      0.48% |      0.47% |      0.47% |      0.48% |      0.47% |      0.47% |      0.47% |      0.48% |      0.47% |      0.47% |      0.47%
    mpki                             |       3.55 |       0.78 |       0.78 |       0.77 |       0.78 |       0.79 |       0.78 |       0.78 |       0.70 |       0.71 |       0.71 |       0.71 |       0.78 |       0.79 |       0.71 |       0.79 |       0.71 |       0.71 |       0.71 |       0.71 |       0.70 |       0.71 |       0.71 |       0.70 |       0.71 |       0.70 |       0.71 |       0.70 |       0.71 |       0.71 |       0.70 |       0.71
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      29425 |     251973 |     251518 |     251515 |     251525 |     251539 |     251525 |     251525 |     251068 |     251072 |     251071 |     251073 |     251526 |     251544 |     251073 |     252455 |     251073 |     251070 |     251068 |     251068 |     251066 |     251069 |     251068 |     251066 |     251069 |     251067 |     251068 |     251066 |     251069 |     251068 |     251066 |     251068
    num cache misses                 |       1075 |       9625 |       7781 |       7705 |       7957 |       7906 |       7734 |       7891 |       7887 |       9469 |       9529 |       7856 |       7995 |       7895 |       9060 |       7677 |      10242 |      10273 |      10320 |      10159 |      10137 |      10359 |      10270 |      10304 |      10057 |      10001 |      10015 |       9970 |      10132 |      10308 |      10323 |      10215
    miss rate                        |      3.65% |      3.82% |      3.09% |      3.06% |      3.16% |      3.14% |      3.07% |      3.14% |      3.14% |      3.77% |      3.80% |      3.13% |      3.18% |      3.14% |      3.61% |      3.04% |      4.08% |      4.09% |      4.11% |      4.05% |      4.04% |      4.13% |      4.09% |      4.10% |      4.01% |      3.98% |      3.99% |      3.97% |      4.04% |      4.11% |      4.11% |      4.07%
    mpki                             |      17.48 |      14.35 |      11.62 |      11.51 |      11.89 |      11.81 |      11.55 |      11.79 |      11.80 |      14.17 |      14.26 |      11.75 |      11.94 |      11.79 |      13.55 |      11.43 |      15.32 |      15.37 |      15.44 |      15.20 |      15.17 |      15.50 |      15.37 |      15.42 |      15.05 |      14.96 |      14.98 |      14.92 |      15.16 |      15.42 |      15.45 |      15.28
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1360 |      10522 |       8702 |       8604 |       8835 |       8788 |       8618 |       8770 |       8743 |      10314 |      10394 |       8707 |       8882 |       8779 |       9929 |       8570 |      11107 |      11133 |      11185 |      11068 |      11031 |      11261 |      11158 |      11179 |      10959 |      10881 |      10929 |      10861 |      11022 |      11192 |      11174 |      11081
    num cache misses                 |        994 |       7909 |       6603 |       6106 |       6384 |       6457 |       6324 |       6392 |       6586 |       7749 |       7836 |       6705 |       6357 |       6363 |       7393 |       6538 |       8914 |       8973 |       8967 |       8781 |       8875 |       8970 |       8832 |       8912 |       8639 |       8557 |       8727 |       8582 |       8649 |       9062 |       9058 |       8808
    miss rate                        |     73.09% |     75.17% |     75.88% |     70.97% |     72.26% |     73.48% |     73.38% |     72.88% |     75.33% |     75.13% |     75.39% |     77.01% |     71.57% |     72.48% |     74.46% |     76.29% |     80.26% |     80.60% |     80.17% |     79.34% |     80.46% |     79.66% |     79.15% |     79.72% |     78.83% |     78.64% |     79.85% |     79.02% |     78.47% |     80.97% |     81.06% |     79.49%
    mpki                             |      16.17 |      11.79 |       9.86 |       9.12 |       9.54 |       9.64 |       9.45 |       9.55 |       9.85 |      11.59 |      11.72 |      10.03 |       9.50 |       9.50 |      11.06 |       9.73 |      13.34 |      13.42 |      13.42 |      13.14 |      13.28 |      13.42 |      13.21 |      13.33 |      12.93 |      12.80 |      13.06 |      12.84 |      12.94 |      13.56 |      13.55 |      13.18
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |      84140 |          0 |          0 |          0 |     175900 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      80998 |          0 |          0 |          0 |     123897 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |     160.98 |        inf |        inf |        inf |     325.34 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     153.53 |        inf |        inf |        inf |     195.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |      56.98 |       0.00 |       0.00 |       0.00 |     221.34 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |      49.53 |       0.00 |       0.00 |       0.00 |      91.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |     31.00% |      0.00% |      0.00% |      0.00% |     65.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     30.00% |      0.00% |      0.00% |      0.00% |     46.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        155 |       4415 |       3829 |       3614 |       3643 |       3674 |       3559 |       3643 |       3795 |       4360 |       4419 |       3878 |       3655 |       3691 |       4119 |       3597 |       5164 |       5182 |       5119 |       5073 |       5143 |       5211 |       5176 |       5105 |       5045 |       4888 |       5006 |       4860 |       4972 |       5145 |       5202 |       5077
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         84 |          9 |          6 |          5 |         59 |        113 |         95 |        139 |         20 |         19 |         20 |         22 |         21 |         40 |         21 |        204 |         12 |         19 |         17 |         17 |         15 |         20 |         20 |         17 |         15 |         17 |         16 |         16 |         17 |         18 |         18 |         20
