                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |      61509 |     670550 |     669419 |     669419 |     668391 |     668391 |     668367 |     668367 |     671955 |     672025 |     670767 |     668375 |     668375 |     668375 |     668391 |     668391 |     668391 |     668391 |     668391 |     668375 |     668386 |     668378 |     668362 |     668362 |     668362 |     668378 |     668362 |     668378 |     668392 |     668386 |     668411 |     668362
  Cycles                             |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658 |    2161658
  IPC                                |       0.03 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829 |    1080829
  Idle time (ns)                     |    1033393 |     204620 |     205786 |     205540 |     204443 |     204589 |     204514 |     204820 |     247036 |     247355 |     246760 |     212186 |     174019 |     175223 |     174414 |     175287 |     200352 |     201208 |     200099 |     200114 |     209909 |     210686 |     210192 |     209681 |     166498 |     168636 |     170233 |     169477 |     166798 |     166551 |     168025 |     168042
  Idle time (%)                      |      95.6% |      18.9% |      19.0% |      19.0% |      18.9% |      18.9% |      18.9% |      19.0% |      22.9% |      22.9% |      22.8% |      19.6% |      16.1% |      16.2% |      16.1% |      16.2% |      18.5% |      18.6% |      18.5% |      18.5% |      19.4% |      19.5% |      19.4% |      19.4% |      15.4% |      15.6% |      15.8% |      15.7% |      15.4% |      15.4% |      15.5% |      15.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8567 |      70219 |      70073 |      70073 |      69954 |      69954 |      69955 |      69955 |      70386 |      70392 |      70238 |      69957 |      69957 |      69957 |      69956 |      69956 |      69956 |      69956 |      69956 |      69957 |      69952 |      69952 |      69954 |      69954 |      69954 |      69952 |      69954 |      69952 |      69952 |      69952 |      69952 |      69954
  num incorrect                      |        238 |       2707 |       2695 |       2695 |       2667 |       2667 |       2663 |       2663 |       2732 |       2734 |       2717 |       2662 |       2662 |       2662 |       2665 |       2665 |       2665 |       2665 |       2665 |       2662 |       2667 |       2666 |       2662 |       2662 |       2662 |       2666 |       2662 |       2666 |       2666 |       2667 |       2668 |       2662
  misprediction rate                 |      2.70% |      3.71% |      3.70% |      3.70% |      3.67% |      3.67% |      3.67% |      3.67% |      3.74% |      3.74% |      3.72% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67% |      3.67%
