                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |      61479 |     670550 |     669419 |     669403 |     670759 |     671939 |     671964 |     671939 |     669657 |     669673 |     669649 |     669496 |     668391 |     668391 |     668378 |     668362 |     668362 |     668362 |     668378 |     668362 |     668386 |     668378 |     668362 |     668378 |     668362 |     668378 |     668362 |     668386 |     668378 |     668362 |     668378 |     668362
  Cycles                             |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597 |    2202597
  IPC                                |       0.03 |       0.30 |       0.30 |       0.30 |       0.30 |       0.31 |       0.31 |       0.31 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299 |    1101299
  Idle time (ns)                     |    1051011 |     177900 |     179896 |     179189 |     220005 |     220485 |     220361 |     220591 |     219569 |     219251 |     219923 |     220364 |     220322 |     220065 |     220704 |     220568 |     210902 |     209605 |     209910 |     210240 |     180259 |     180771 |     181504 |     181422 |     193538 |     191479 |     192732 |     196380 |     189015 |     189688 |     188951 |     189465
  Idle time (%)                      |      95.4% |      16.2% |      16.3% |      16.3% |      20.0% |      20.0% |      20.0% |      20.0% |      19.9% |      19.9% |      20.0% |      20.0% |      20.0% |      20.0% |      20.0% |      20.0% |      19.2% |      19.0% |      19.1% |      19.1% |      16.4% |      16.4% |      16.5% |      16.5% |      17.6% |      17.4% |      17.5% |      17.8% |      17.2% |      17.2% |      17.2% |      17.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8561 |      70212 |      70067 |      70067 |      70226 |      70376 |      70375 |      70376 |      70085 |      70086 |      70088 |      70071 |      69944 |      69944 |      69942 |      69943 |      69943 |      69943 |      69942 |      69943 |      69942 |      69942 |      69943 |      69942 |      69943 |      69942 |      69943 |      69942 |      69942 |      69943 |      69942 |      69943
  num incorrect                      |        241 |       2714 |       2701 |       2699 |       2728 |       2740 |       2744 |       2740 |       2711 |       2712 |       2707 |       2708 |       2677 |       2677 |       2676 |       2673 |       2673 |       2673 |       2676 |       2673 |       2677 |       2676 |       2673 |       2676 |       2673 |       2676 |       2673 |       2677 |       2676 |       2673 |       2676 |       2673
  misprediction rate                 |      2.74% |      3.72% |      3.71% |      3.71% |      3.74% |      3.75% |      3.75% |      3.75% |      3.72% |      3.73% |      3.72% |      3.72% |      3.69% |      3.69% |      3.69% |      3.68% |      3.68% |      3.68% |      3.69% |      3.68% |      3.69% |      3.69% |      3.68% |      3.69% |      3.68% |      3.69% |      3.68% |      3.69% |      3.69% |      3.68% |      3.69% |      3.68%
  mpki                               |       3.92 |       4.05 |       4.03 |       4.03 |       4.07 |       4.08 |       4.08 |       4.08 |       4.05 |       4.05 |       4.04 |       4.04 |       4.01 |       4.01 |       4.00 |       4.00 |       4.00 |       4.00 |       4.00 |       4.00 |       4.01 |       4.00 |       4.00 |       4.00 |       4.00 |       4.00 |       4.00 |       4.01 |       4.00 |       4.00 |       4.00 |       4.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       9828 |      99959 |      99828 |      99822 |      99976 |     100101 |     100111 |     100101 |      99845 |      99850 |      99840 |      99839 |      99708 |      99708 |      99706 |      99700 |      99700 |      99700 |      99706 |      99700 |      99710 |      99706 |      99700 |      99706 |      99700 |      99706 |      99700 |      99710 |      99706 |      99700 |      99706 |      99700
    num misses                       |         31 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37
    miss rate                        |      0.32% |      0.05% |      0.05% |      0.05% |      0.05% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.50 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      29424 |     251973 |     251517 |     251515 |     251996 |     252452 |     252455 |     252452 |     251541 |     251546 |     251542 |     251528 |     251073 |     251073 |     251068 |     251066 |     251066 |     251067 |     251068 |     251066 |     251069 |     251068 |     251066 |     251068 |     251066 |     251069 |     251066 |     251069 |     251068 |     251066 |     251068 |     251066
    num misses                       |        166 |         71 |         67 |         67 |         70 |         72 |         73 |         72 |         66 |         67 |         67 |         66 |         44 |         44 |         44 |         70 |         44 |         44 |         44 |         45 |         44 |         44 |         44 |         44 |         44 |         44 |         44 |         44 |         45 |         45 |         44 |         44
    miss rate                        |      0.56% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
